release_id,artist_id,artist_name,extra,anv,position,join_string,role,tracks
60074,3101,Fatboy Slim,0,,1,,,
60074,59261,Simon Thornton,1,,1,,"Engineer, Mixed By",
60074,489403,"\"Tony \"\"Tippy\"\" Tarochione\"",1,Tippy,2,,Mastered By,
60074,3101,Fatboy Slim,1,,3,,Producer,
67497,28343,Baz,0,,1,,,
68286,56165,Demote,0,,1,,,
68286,77720,Jürgen Spann,1,,1,,"Written-By, Producer",
68366,56041,Charlie Watts/Jim Keltner Project,0,Charlie Watts Jim Keltner Project,1,,,
68366,640,Modaji,1,,1,,Remix,"A2, C1, C2"
68366,5318,Restless Soul,1,,2,,Remix,"A1, B, D1, D2"
71532,84882,Aardvarck,0,,1,,,
71926,46028,Modern Moves,0,Modern Movez,1,,,
71926,46028,Modern Moves,1,Modern Movez,1,,"Written-By, Producer",
74058,60103,S.M.F.,0,,1,,,
74058,388200,Paul Solomons,1,Pauls,1,,Lacquer Cut By,
77051,16228,Little Jam,0,,1,,,
77051,1584729,SST (8),1,,1,,Lacquer Cut By,
77051,241793,Henrik Christensen,1,Christiansen,2,,"Producer, Written-By",
77051,717887,Henrik Klein Rasmussen,1,Rasmussen,3,,"Producer, Written-By",
77051,13688,Michael Parsberg,1,Parsberg,4,,"Producer, Written-By",
77051,13549,Michael Pfundheller,1,M. Phundheller,5,,Voice,
77125,58528,Inferior,0,,1,,,
80790,10504,Taka Boom,0,,1,Feat.,,
80790,17035,Chaka Khan,0,,2,,,
84027,605113,Spank Spank (2),0,,1,,,
84027,53381,Ad De Feijter,1,De Feyter,1,,"Written-By, Producer",
84027,66471,Andrew Noname,1,,2,,"Written-By, Producer",
93010,30532,Strong Accents,0,,1,,,
93010,6452760,Hü,1,,1,,Lacquer Cut By,
93010,26,Alexi Delano,1,DJ Alexi Delano,2,,Written-By [Made By],
93010,27,Cari Lekebusch,1,,3,,Written-By [Made By],
93010,20798,Manuel Perez,1,DJ Manuel Perez,4,,Written-By [Made By],
101822,62745,Warp 69,0,,1,,,
101822,20742,Jörn Elling Wuttke,1,Wuttke,1,,"Written-By, Producer",
101822,429356,Kay Praag,1,Praag,2,,"Written-By, Producer",
101822,13111,Roman Flügel,1,Flügel,3,,"Written-By, Producer",
103254,38733,Fabio MC,0,,1,,,
105681,60910,A Taste Of Honey,0,,1,,,
105681,118063,Larkin Arnold,1,,1,,Executive-Producer,
105681,1506426,Larry Mizell & Fonce Mizell,1,Fonce Mizell & Larry Mizell,2,,Producer,
105681,316919,Perry Kibble,1,Perry L. Kibble,3,,Producer [Assist],
106634,30861,Dope Smugglaz,0,,1,,,
107894,38832,R.M. Project,0,,1,,,
107894,1649,Rhythm Masters,1,,1,,"Written-By, Producer",
108240,81883,"Me, Daniel & Dhula",0,,1,,,
108342,4296,John Thomas,0,,1,,,
108342,43775,Charles Siegling,1,,1,,Design [Sleeve],
108342,1890709,Julien Suteau,1,,2,,Design [Sleeve],
108342,38322,Hervé Bordes,1,RV,3,,Lacquer Cut By,
108342,4296,John Thomas,1,Jonathan Thomas,4,,Written-By [Created By],
112572,25230,Fred,0,Fred To The Midwest,1,,,
112572,27,Cari Lekebusch,1,,1,,Producer,
114381,39185,Bass Chakra,0,,1,,,
114381,386598,Nilesh Patel,1,Nilz,1,,Lacquer Cut By,
114381,422745,Ingo Schnorrenberg,1,,2,,"Written-By, Producer",
114381,47436,Tsuyoshi Suzuki,1,,3,,"Written-By, Producer",
116860,48407,Andrea True Connection,0,The Andrea True Connection,1,,,
116860,542784,Tom Carey,1,,1,,"Bass, Vocals",
116860,1104075,Christopher Carroll,1,,2,,Drums,
116860,436568,Ken Wallace (2),1,,3,,Keyboards,
116860,542780,Joe Barbosa,1,,4,,"Lead Guitar, Vocals",
116860,1104074,Ralph Agresta,1,,5,,"Lead Guitar, Vocals",
120307,5963,DJ Sakin & Friends,0,,1,,,
120307,17228,DJ Sakin,1,,1,,Producer,
120307,443365,Sakin Bozkurt,1,S. Bozkurt,2,,Producer,
120307,11118,Torsten Stenzel,1,,3,,Producer,
120307,23820,Janet Taylor,1,,4,,Vocals,
120307,39575,James Horner,1,,5,,Written-By,
121091,27178,Laserdance,0,,1,,,
121091,92587,Edwin van der Laag,1,Edwin v.d. Laag,1,,Cover [Cover Art],
121091,63426,Erik van Vliet,1,,2,,Executive-Producer,
121091,1584729,SST (8),1,,3,,Lacquer Cut By,
121091,63426,Erik van Vliet,1,,4,,Producer,
121091,226558,Michiel Van Der Kuy,1,Michiel v. d. Kuy,5,,Producer,
121091,289111,Rob van Eijk,1,,6,,Producer,
121091,63426,Erik van Vliet,1,,7,,Written-By,"A1, A4, B1 to B4"
121091,226558,Michiel Van Der Kuy,1,,8,,Written-By,A3
121091,289111,Rob van Eijk,1,Rob v. Eijk,9,,Written-By,A2
124760,67047,Quick,0,,1,,,
124760,1998604,Mike Eller,1,,1,,"Design [Sleeve / Quick / You Records Logo], Photography By",
124760,369955,Don Grossinger,1,,2,,Mastered By,
124760,56372,Prince Quick Mix,1,,3,,"Producer, Mixed By, Arranged By",
124760,64215,Cica,1,,4,,Vocals,
124760,10993718,Catherine Christomoglou,1,C.E. Christomoglou,5,,Written-By,
124760,594977,Manuel Napuri,1,M. Napuri,6,,Written-By,
126459,9592,Pizzaman,0,,1,,,
126599,33331,Delicious Inc.,0,,1,Meets,,
126599,8258,Sandy Rivera,0,,2,Featuring,,
126599,42404,LT Brown,0,,3,,,
126599,42404,LT Brown,1,,1,,Featuring,
126599,8258,Sandy Rivera,1,,2,,Mixed By [Re-constructed],
126599,42404,LT Brown,1,,3,,Written-By [Vocals],
126599,8258,Sandy Rivera,1,,4,,Written-By [Vocals],
127897,1616,Ignition Technician,0,,1,,,
127897,92821,Simon Davey,1,,1,,Lacquer Cut By,
127897,45181,Richard Wilkinson,1,,2,,"Written By, Producer",
127897,51819,Pete Simpson,1,,3,,"Written-By, Producer",
129216,100039,Le Pamplemousse,0,,1,,,
129216,273883,David Williams (2),1,,1,,Bass,
129216,2001100,The Committee (10),1,,2,,Design [Album Design],
129216,212745,Laurin Rinder,1,,3,,"Drums, Percussion, Effects",
129216,182433,Galen Senogles,1,,4,,"Engineer, Mixed By",
129216,2726783,Ray Harris & Ed Cobb,1,,5,,Executive-Producer,
129216,568624,Jeff Sigman,1,,6,,Guitar,
129216,756274,David Baer,1,,7,,Mastered By,
129216,126919,Rinder & Lewis,1,Laurin Rinder & W. Michael Lewis,8,,Producer,
129216,305155,W. Michael Lewis,1,,9,,"Synthesizer, Piano [Acoustic], Electric Piano, Clavinet, Organ, Arranged By [Horns]",
129216,202492,Doug Richardson,1,,10,,Tenor Saxophone,
129216,202491,David Stout,1,,11,,Trombone,
129216,342236,Harry Kim,1,,12,,Trumpet,
129216,129663,Alex Brown,1,,13,,Vocals,
129216,212745,Laurin Rinder,1,,14,,Vocals,
129216,408453,Mortonette Jenkins,1,,15,,Vocals,
129216,661284,Patti Hall,1,,16,,Vocals,
134528,59776,Alphaville,0,,1,,,
134528,59782,Bernhard Lloyd,1,Lloyd,1,,Music By,
134528,95466,Marian Gold,1,Gold,2,,Music By,
134528,1398939,Ricky Echolette,1,Echolette,3,,Music By,
138089,91762,Virgin,0,,1,,,
138089,215817,Giacomo Maiolini,1,Maiolini,1,,Arranged By,
138089,154974,Giuliano Crivellente,1,Crivellente,2,,Arranged By,
138089,154973,Mauro Farina,1,Farina,3,,"Arranged By, Written-By",
138089,223280,Laurent Newfield,1,Laurent G. Newfield,4,,"Mixed By, Recorded By",
138089,215817,Giacomo Maiolini,1,,5,,Producer,
138089,223283,Clara Moroni,1,,6,,Vocals [Uncredited],
138089,63340,Gianfranco Bortolotti,1,Bortolotti,7,,Written-By,
138089,149987,Graziano Pegoraro,1,Pegoraro,8,,Written-By,
138107,16763,House Of Pain,0,,1,,,
138107,1829923,Erwin Gorostiza,1,,1,,"Art Direction, Design",
138107,1999412,John Codling,1,,2,,Layout,
138107,1846052,Buzztone Entertainment,1,,3,,Management,
138107,108723,DJ Lethal,1,,4,,Producer,"2, 4"
138107,142189,Grandmixer Muggs,1,,5,,"Producer, Arranged By, Mixed By",
138107,76490,Everlast,1,,6,,"Producer, Mixed By","2, 4"
138107,355996,Danny Boy O'Connor,1,,7,,Vocals [Additional],"2, 4"
138107,108723,DJ Lethal,1,D.J Lethal,8,,Written-By,"2, 4"
138107,646291,Erik Schrody,1,E. Schrody,9,,Written-By,
138107,608747,Larry Muggerud,1,L. Muggerud,10,,Written-By,"1, 3"
140038,31964,Mirage (12),0,,1,,,
140345,194,Various,0,,1,,,
140345,1860827,T&CP Associates,1,T+CP,1,,Design,
141273,194,Various,0,,1,,,
142123,1879,Kicks Like A Mule,0,,1,,,
142123,445743,Tim Dog (2),1,,1,,Engineer,
142123,51031,Nick Halkes,1,,2,,"Written-By, Producer, Mixed By",
142123,65387,Richard Russell,1,,3,,"Written-By, Producer, Mixed By",
145125,12416,Dee Gorgeous,0,,1,,,
145125,364787,Michael Sarsfield,1,MJS,1,,Mastered By,
145125,57320,Eddie Arroyo,1,"\"Eddie \"\"Love\"\" Arroyo\"",2,,"Producer, Arranged By, Mixed By",
145125,57320,Eddie Arroyo,1,E. Arroyo,3,,Written-By,
145948,212492,Handsome Boy Modeling School,0,,1,,,
151679,11130,Monk & Canatella,0,,1,,,
159698,16709,Tom Novy,0,,1,,,
162062,33779,Stereo Jack,0,Stereo,1,&,,
162062,109664,Johnny Flash,0,Flash,2,,,
162062,567819,SNB,1,,1,,Mastered By,
162062,109664,Johnny Flash,1,,2,,"Written-By, Producer",
162062,33779,Stereo Jack,1,,3,,"Written-By, Producer, Mixed By",
162517,194,Various,0,,1,,,
162517,75860,DJ Alex (2),1,"\"\"\"DJ Alex\"\" Ligowski\"",1,,"DJ Mix, Compiled By",
162517,255191,DJ Mars (3),1,,2,,"DJ Mix, Compiled By",2.1 to 2.11
165116,5873,Yello,0,,1,,,
165116,2269798,En Soie Zurich,1,,1,,Artwork [Fabrics],
165116,24222,Billy MacKenzie,1,,2,,Backing Vocals,
165116,171685,Boris Blank,1,,3,,"Composed By, Arranged By",
165116,515111,Ernst Gamper,1,,4,,Cover,
165116,515109,Marco Colombo,1,,5,,Guitar,
165116,38503,Dieter Meier,1,,6,,"Lyrics By, Vocals",
165116,324215,Beat Ash,1,,7,,Percussion,
165116,2269799,Francesca Giovanelli,1,,8,,Photography By,
165116,5873,Yello,1,,9,,"Producer, Engineer",
165297,9254,Black Star Liner,0,,1,,,
165297,2331733,Squid Inc. (2),1,,1,,Design,
165297,453175,Tom Salmon,1,,2,,Engineer [Mix Engineer],
165297,3750026,Blind Lemon,1,,3,,Photography By,
165297,227003,Choque Hosein,1,Choque,4,,"Producer [Produced By], Mixed By",
165297,227003,Choque Hosein,1,Hosein,5,,Written-By,
165297,769647,Chris Harrop,1,Harrop,6,,Written-By,
165297,453175,Tom Salmon,1,Salmon,7,,Written-By,
165566,124860,S'Express,0,,1,,,
169902,60224,Collapse,0,,1,,,
169902,63340,Gianfranco Bortolotti,1,G. Bortolotti,1,,Executive-Producer,
169902,399533,Roberto Arduini,1,R. Arduini,2,,Mixed By,
169902,235059,Antonio Puntillo,1,A. Puntillo,3,,"Recorded By, Arranged By",
169902,399533,Roberto Arduini,1,R. Arduini,4,,"Recorded By, Arranged By",
169902,235059,Antonio Puntillo,1,A. Puntillo,5,,Written-By,
169902,283996,Diego Leoni,1,D. Leoni,6,,Written-By,
169902,63340,Gianfranco Bortolotti,1,G. Bortolotti,7,,Written-By,
169902,42432,Lorenzo Carpella,1,L. Carpella,8,,Written-By,
169902,399533,Roberto Arduini,1,R. Arduini,9,,Written-By,
171100,131759,Loop Killaz,0,,1,,,
171100,105401,Jorge Watts,1,,1,,Written By,
174232,1373,Björk,0,,1,,,
174232,1373,Björk,1,,1,,"Arranged By, Producer",
174232,83740,Eumir Deodato,1,,2,,"Transcription By, Orchestrated By",
174232,1373,Björk,1,,3,,Written-By,
174232,700031,Sigurjón Birgir Sigurðsson,1,Sigurjon Birgir Sigurdsson,4,,Written-By,
174232,149879,Sjón,1,Sjòn,5,,Written-By,
174932,73282,Klaus Nomi,0,,1,,,
174932,603669,FKGB,1,,1,,Artwork,
174932,967691,Anonymous,1,X,2,,Photography By [Photo],
175232,14334,Anthony Acid,0,,1,Presents,,
175232,467280,Powerhouse (7),0,,2,,,
175232,240892,Mike Weiss,1,MW,1,,Executive-Producer,
175232,14334,Anthony Acid,1,,2,,"Producer, Mixed By, Written-By",
178375,650425,Jennie Matthias,0,Jennie,1,Featuring,,
178375,16062,Night Trains,0,The Nightrains,2,,,
178375,5762,Judge Jules,1,,1,,"Co-producer, Mixed By",
178375,67860,Roy The Roach,1,Roy 'The Roach',2,,"Co-producer, Mixed By",
178375,273567,Hugh Brooker,1,H. Brooker,3,,"Written-By, Producer",
178375,650425,Jennie Matthias,1,J. Matthias,4,,"Written-By, Producer",
178375,1115908,Julian Bates,1,J. Bates,5,,"Written-By, Producer",
181610,49439,BoBo,0,,1,,,
181610,125542,Bojan & Vic,1,,1,,"Producer, Written-By",
182340,87839,Risqué (2),0,,1,,,
182340,672294,Åke Danielson,1,Ake Danielson,1,,Co-producer,
182340,96900,John Tilly,1,J. Tilly,2,,Lyrics By,
182340,672294,Åke Danielson,1,A. Danielson,3,,Lyrics By,
182340,5438959,Gerard v.d. Kolk B.V.,1,,4,,"Management, Booking",
182340,2484777,Jos Fielmich,1,,5,,Photography By,
182340,96900,John Tilly,1,,6,,Producer,
184029,81786,Project-X,0,,1,,,
184029,366004,Åsa Winzell,1,,1,,Mastered By,
184029,485231,Björn Larsson,1,,2,,"Synthesizer, Performer [Project-X Is]",
184029,667323,Johan Lindsjö,1,,3,,"Synthesizer, Performer [Project-X Is]",
184029,163219,Torny Gottberg,1,,4,,"Synthesizer, Performer [Project-X Is]",
184029,163219,Torny Gottberg,1,,5,,"Written-By, Vocals",
188868,5886,Jam & Spoon,0,,1,Featuring,,
188868,29921,Plavka,0,,2,,,
188868,1946855,KM7,1,,1,,Cover,
188868,29921,Plavka,1,,2,,"Featuring, Vocals",
188868,1584729,SST (8),1,,3,,Lacquer Cut By,
188868,20852,Jam El Mar,1,,4,,Producer,
188868,42084,Mark Spoon,1,,5,,Producer,
188868,20852,Jam El Mar,1,,6,,Written-By,
188868,42084,Mark Spoon,1,,7,,Written-By,
188868,149999,Nosie Katzmann,1,,8,,Written-By,
191101,1433,"Up, Bustle & Out",0,"Up, Bustle And Out",1,,,
191101,619509,Señor Roody,1,,1,,Arranged By,
191101,3458207,Frances Vesma,1,,2,,Artwork,
191101,619509,Señor Roody,1,,3,,Composed By [Creator],
191101,126088,Clandestine Ein,1,,4,,Drums,
191101,126088,Clandestine Ein,1,,5,,Electric Piano [Rhodes],
191101,619509,Señor Roody,1,,6,,Flute,
191101,3633829,Alex Pilotti,1,Alex P,7,,Illustration,
191101,3458207,Frances Vesma,1,,8,,Illustration,
191101,3346824,Will Myers,1,Will M,9,,Illustration,
191101,4105429,Jaipall Bagh,1,,10,,Layout,
191101,619509,Señor Roody,1,,11,,Lyrics By [Literature],
191101,126088,Clandestine Ein,1,,12,,Organ [Hammond Keyboards],
191101,619509,Señor Roody,1,,13,,"Other [Adventurer - Up, Bustle And Out Scenario]",
191101,0,María 'Ches' Rodrigez,1,,14,,Other [Spanish literature],
191101,948282,Haydn,1,Haydn S,15,,Photography By,
191101,3632545,Sally Anne Mould,1,Sally Ann Mould,16,,Photography By,
191101,554672,John Donegan,1,,17,,Piano,
191101,619509,Señor Roody,1,,18,,Producer,
191101,477952,Vicki Burke,1,,19,,Saxophone,
191101,126088,Clandestine Ein,1,,20,,Technician [Studio Technics],
191101,619509,Señor Roody,1,,21,,Written-By,
191888,38319,Psycho Team,0,,1,,,
191888,38319,Psycho Team,1,,1,,Arranged By,"A1, A2, B1, B2"
191888,57013,Claudio Tarantola,1,,2,,Composed By,"A1, A2, B1"
191888,149987,Graziano Pegoraro,1,,3,,Composed By,"A1, A2, B1"
191888,57012,Marco Biondi,1,,4,,Composed By,"A1, A2, B1, B2"
191888,38319,Psycho Team,1,,5,,Producer,"A1, A2, B1, B2"
192044,59,Kerri Chandler,0,,1,,,
192044,59,Kerri Chandler,1,,1,,DJ Mix,2-1 to 2-11
192044,59,Kerri Chandler,1,"\"Kerri \"\"Kaoz:623\"\" Chandler\"",2,,Producer,
196552,15997,Christopher Rayce,0,,1,,,
198113,119882,DJ Huff,0,,1,,,
198232,4320,Conga Squad,0,,1,,,
198232,386598,Nilesh Patel,1,,1,,Mastered By,
198232,47609,Olivier Abbeloos,1,Abbeloos Olivier,2,,"Producer, Arranged By",
199211,73490,DJ Yoeri,0,DJ Youri,1,,,
199211,1975540,Joe Nardi,1,,1,,A&R,
199211,775048,Suzy Verwaest,1,,2,,Vocals,
199211,672397,Yoeri Nicasi,1,,3,,"Written-By, Producer",
200001,83644,Cycloid Dyaxis,0,,1,,,
200001,1473903,Alec Ven,1,,1,,Artwork By [Design By],
200001,514976,Steve Thirry,1,Steve Thiry,2,,"Written-By, Arranged By, Producer",
200209,117299,Legal Mission,0,,1,,,
200209,63964,I.N.G.O.,1,,1,,Mixed By,
200209,549571,Michael Pagenstedt,1,,2,,Mixed By,
200209,497959,Bassline Productions,1,,3,,Producer,
200209,105793,Cyrus (2),1,,4,,Written-By,
200209,63964,I.N.G.O.,1,,5,,Written-By,
200209,665815,Patrick Peiki,1,Peiki,6,,Written-By,
200484,142494,Stouffer,0,,1,,,
204404,2237,Beaumont Hannant,0,,1,With,,
204404,152123,Joseph Johnson,0,,2,,,
204404,60005,Wayne Archbold,1,,1,,Compiled By,
204404,11454,Richard Brown,1,,2,,Engineer,
204404,2237,Beaumont Hannant,1,,3,,"Producer, Mixed By, Arranged By, Compiled By, Engineer",
204404,2237,Beaumont Hannant,1,B. Hannant,4,,Written-By,
209654,19235,U96,0,,1,,,
210729,252209,Gary Hardy,0,,1,,,
210729,252209,Gary Hardy,1,,1,,DJ Mix,
210729,200749,Sam Wood,1,,2,,Engineer,
213971,212313,Del Costa,0,,1,&,,
213971,211368,Pedro Goya,0,,2,,,
213971,2027,David Duriez,1,,1,,Executive Producer,
213971,212313,Del Costa,1,,2,,"Written-By, Producer",
213971,211368,Pedro goya,1,,3,,"Written-By, Producer",
216571,149338,J.L.A.,0,,1,,,
218119,104876,Tim Bowness,0,,1,/,,
218119,113602,Peter Chilvers,0,,2,,,
218119,113602,Peter Chilvers,1,,1,,"Keyboards, Other [Backing Track]",
218119,113602,Peter Chilvers,1,,2,,Remastered By,
218119,104876,Tim Bowness,1,,3,,Vocals,
218119,0,Bearpark / Bowness / Chilvers,1,,4,,Written By,4
218119,0,Bennett / Bowness,1,,5,,Written By,3
218119,0,Bowness  / Wilson / Fenton,1,,6,,Written By,16
218119,0,Bowness / Chilvers,1,,7,,Written By,"1, 2, 6, 8, 11, 18, 19"
218119,0,Bowness / Wilson,1,,8,,Written By,5
218119,2648379,Jagger / Richards,1,,9,,Written By,17
218119,263417,George Fenton,1,Fenton,10,,Written-By,16
218119,85929,Kate Bush,1,,11,,Written-By,14
218119,442557,Michael Bearpark,1,Bearpark,12,,Written-By,4
218119,113602,Peter Chilvers,1,,13,,Written-By,"1, 2, 6, 8, 11, 18, 19"
218119,279604,Stephen Bennett,1,Bennett,14,,Written-By,3
218119,227943,Steven Wilson,1,Wilson,15,,Written-By,"5, 16"
218119,104876,Tim Bowness,1,,16,,Written-By,"1 to 13, 15, 16, 18, 19"
218924,162937,Jide Max Project,0,,1,Presents,,
218924,450083,Culture Groove (2),0,,2,,,
218924,450084,Susan Buckley,1,,1,,Engineer [Engineered By],
218924,88354,Scott Schlachter,1,,2,,Executive Producer,
218924,33333,"\"Jide \"\"PB\"\" Max\"",1,"\"\"\"PB\"\"\"",3,,Keyboards [Keyboards By],
218924,162937,Jide Max Project,1,,4,,Presenter,
218924,33333,"\"Jide \"\"PB\"\" Max\"",1,,5,,"Written-By, Producer [Produced By], Mixed By",
219483,124039,DJ Tonio,0,,1,&,,
219483,12214,Vitalic,0,,2,,,
219483,319592,Cédric Monnet,1,Ced,1,,Lacquer Cut By,
220202,8299,Sigur Rós,0,,1,,,
221385,77271,DJ Controlled Weirdness,0,,1,And,,
221385,145594,Warlock (3),0,The Warlock,2,,,
222308,143431,Gene Joke,0,Genejoke,1,,,
222308,515087,Kostas Zanoudakis,1,K. Zanoudakis,1,,"Written-By, Producer",
222308,515088,Yannis Megas,1,Y. Megas,2,,"Written-By, Producer",
223370,7870,Mad Professor,0,,1,,,
224446,3124,Kitachi,0,,1,,,
224446,3124,Kitachi,1,,1,,Arranged By,1-1 to 1-15
224446,1841886,Fab 4 (2),1,Fab4,2,,Design,
224446,3124,Kitachi,1,,3,,Mixed By,"1-1 to 1-11, 1-13 to 1-15"
224446,2279856,Marcus Ginns,1,,4,,Photography By,
224446,112916,Dennis Rootical,1,,5,,Producer,"1-1 to 1-8, 1-10 to 1-15"
224446,3124,Kitachi,1,,6,,Producer,"1-1 to 1-8, 1-10 to 1-15"
224446,151041,Mark Iration,1,,7,,Producer,"1-1 to 1-8, 1-10 to 1-15"
224446,112916,Dennis Rootical,1,,8,,Written-By,1-1 to 1-15
224446,151041,Mark Iration,1,,9,,Written-By,1-1 to 1-15
225700,609,ISAN,0,,1,,,
225700,487882,Antony Ryan,1,,1,,"Composed By, Performer, Producer",
225700,211238,Robin Saville,1,,2,,"Composed By, Performer, Producer",
225700,1869320,Jan Kruse (2),1,,3,,Design,
225700,166726,Rashad Becker,1,,4,,Lacquer Cut By,
225700,1704904,Robin Saville And Antony Ryan,1,,5,,"Written By [Titles Composed, Performed And Produced By]",
227653,26918,Missy Elliott,0,Missy Misdemeanor Elliott,1,,,
227653,35125,Timbaland,1,,1,,Producer,
228145,77604,Definition Of Joy,0,,1,,,
228145,238041,Patrick Moerland,1,,1,,Design [Logo Design],
228145,159154,Dick Liefting,1,,2,,Producer,
228145,117059,Martin Boer,1,,3,,Producer,
228145,14685,King Lover,1,,4,,Rap,
228145,949154,Elisha (3),1,,5,,Vocals,
228145,53384,Dancability,1,,6,,Written-By,
228145,159154,Dick Liefting,1,D. Liefting,7,,Written-By,
228145,837030,Humphrey Mijland,1,M. Mijland,8,,Written-By,
228675,194,Various,0,,1,,,
235806,35732,Stimulus,0,,1,,,
235806,35732,Stimulus,1,,1,,Composed By,
236256,20815,In Between The Lines,0,,1,,,
236256,1409,DJ SS,1,DJ-SS,1,,"Producer, Mixed By, Written-By",
240916,97615,Stijn,0,,1,,,
241636,171317,Seraphim Suite,0,,1,,,
241636,25262,Mica Paris,1,,1,,Vocals,
243786,82700,Non Phixion,0,,1,,,
243786,479906,Anton Pukshansky,1,Anton Pushansky,1,,Mixed By,
243786,19099,Necro,1,,2,,Producer,A1 to A3
243786,188443,10K (2),1,,3,,"Producer, Scratches",B1 to B3
243786,477113,Petey Mix,1,,4,,Recorded By,
245489,192365,Abdreher,0,,1,,,
245489,192365,Abdreher,1,,1,,Producer,
245735,109712,Sonic Freakuency,0,,1,,,
246621,103497,Panic Machine,0,,1,,,
246621,456216,Davide Napolitano,1,,1,,"Written-By, Arranged By, Producer",
246621,79352,Moratto,1,,2,,"Written-By, Arranged By, Producer",
249201,194,Various,0,,1,,,
