release_id,style
398173,Soft Rock
398173,Pop Rock
398173,Synth-pop
402494,Italo-Disco
404366,Progressive House
404366,Tech House
404968,Makina
406585,Techno
408700,Soul
408700,Disco
408700,Funk
411214,Trance
411214,Techno
411214,Acid
412237,Contemporary Jazz
413961,New Wave
415417,House
415417,Techno
416484,Drum n Bass
416484,Breakcore
416894,Drum n Bass
417877,House
417877,Downtempo
418339,Post-Punk
418467,Leftfield
418467,Abstract
418467,Experimental
420850,Hard House
420850,Hard Trance
423337,Techno
423337,Hard Techno
423337,Hardcore
430072,Alternative Rock
430072,Glam
430072,Classic Rock
433718,Musique Concrète
433718,Pop Rock
433718,Prog Rock
433718,Modern Classical
433718,Avantgarde
433718,Symphonic Rock
433718,Psychedelic Rock
433718,Special Effects
433718,Field Recording
433718,Experimental
434074,House
434074,Deep House
434074,Tech House
439163,Breakbeat
439163,Hardcore
439163,Drum n Bass
442614,Alternative Rock
446327,Goth Rock
456269,Gabber
456269,Happy Hardcore
456284,Dub
458574,Ambient
460859,Glitch
460859,Abstract
460859,IDM
460859,Experimental
461709,Experimental
461709,Avantgarde
461786,Techno
466518,Euro House
470335,Hardstyle
471263,Acid House
471263,Pop Rock
471263,House
471263,Disco
471263,Deep House
471263,Synth-pop
481725,House
481725,Deep House
481725,Tech House
481725,Disco
482206,Cut-up/DJ
482206,Disco
484486,Hard Bop
488648,Soul
489148,Soul
489148,Funk
489877,Synth-pop
492579,Disco
493401,House
493401,Happy Hardcore
493401,Trance
497648,Rock & Roll
497648,Soft Rock
497648,Classic Rock
500154,Trance
500154,Hard Trance
501843,Alternative Rock
501843,Folk Rock
501843,Pop Rap
501843,Pop Rock
501843,Lounge
508011,Italo House
508707,Grime
513828,Reggae
513828,Dub
517664,Deep House
517664,Garage House
518954,Acoustic
522929,Future Jazz
522929,Downtempo
522929,Hip Hop
523792,Trance
528869,House
528869,Progressive House
528882,House
531521,Techno
531521,Minimal
533112,Abstract
533112,Experimental
540456,Gothic Metal
544769,Thug Rap
544769,Bounce
547403,Electro
547949,Pop Rock
547949,Synth-pop
557202,Breakbeat
557202,Breaks
558521,Garage Rock
558521,Rock & Roll
558521,Punk
558521,Doo Wop
558521,Psychedelic Rock
558521,Glam
558988,Electro
558988,Goth Rock
562073,Soul
563057,Pop Rock
563057,Experimental
563057,Indie Rock
567111,Jungle
569131,Techno
569466,House
569466,Pop Rap
569466,Progressive House
569466,Theme
571004,Black Metal
573713,IDM
573713,Drum n Bass
578706,Eurobeat
578706,Hi NRG
580263,Downtempo
586358,Punk
592068,Jungle
594237,Drum n Bass
594237,Jungle
595591,Industrial
595591,Electro
595591,EBM
596700,Goa Trance
596973,Garage Rock
596973,Art Rock
596973,Indie Rock
597623,Hi NRG
597623,Synth-pop
598450,Blues Rock
598450,Classic Rock
598450,Hard Rock
600596,Abstract
600596,Noise
600596,Ambient
602319,Progressive House
602319,House
608626,House
608626,Reggae
611821,Downtempo
611821,Prog Rock
611821,Ambient
612017,Hard Trance
614983,Radioplay
614983,Musique Concrète
614983,Speech
615202,Illbient
615202,Dub
615202,Experimental
616363,RnB/Swing
616363,UK Garage
618702,Heavy Metal
618702,Alternative Rock
618702,Nu Metal
619010,Alternative Rock
619010,New Wave
619010,Pop Rock
619010,Synth-pop
621454,Downtempo
621454,Ambient
621748,Ska
621748,Rocksteady
622512,Thrash
622512,Heavy Metal
623808,Rhythmic Noise
623808,IDM
623808,Downtempo
623808,Industrial
624734,Hard House
624734,Euro House
629737,Techno
629737,Minimal
630083,House
630083,Synth-pop
634336,Acid Jazz
634336,Funk
634336,Big Beat
636560,House
639953,Modern
642844,Trance
644071,Smooth Jazz
646206,Trance
646206,Techno
648532,Soul
652950,House
654290,Hi NRG
654290,Dance-pop
658871,Jazz-Funk
658871,Soul
658871,Funk
661956,Trance
661956,Euro House
664657,Makina
664657,Trance
664657,Techno
665555,Italo House
667155,Thrash
667155,Groove Metal
669952,Synth-pop
669952,Disco
670196,Pop Rock
674776,Pop Rock
674776,Synth-pop
678424,Power Electronics
678424,Noise
678424,Industrial
681821,Pop Rap
681821,Europop
682417,UK Garage
682417,Bassline
687081,Blues Rock
687081,Acoustic
687081,Psychedelic Rock
687081,Prog Rock
688430,Hard House
688468,Acid Jazz
688468,Synth-pop
688468,Funk
688468,Soul
693796,IDM
693796,Techno
693916,Acid Jazz
693916,Techno
695047,Breakbeat
695047,Instrumental
695047,Cut-up/DJ
695047,DJ Battle Tool
695047,Breaks
696595,Jazz-Funk
696595,Soul
696595,Funk
696595,Disco
705630,Noise
705630,Experimental
708914,Trance
710680,House
710680,UK Garage
710680,Speed Garage
711828,Trance
711828,Euro House
714878,Industrial
716030,Breakbeat
716030,Electro
716228,Downtempo
716228,Trip Hop
716228,Hip Hop
718064,Lo-Fi
718064,Psychedelic Rock
718064,Indie Rock
718064,Experimental
723634,New Wave
723634,Synth-pop
726848,Pop Rock
726848,Synth-pop
727536,Tribal
727536,Ambient
728610,Europop
732054,Acid
732054,Breakcore
735563,Avantgarde
740561,Indie Rock
741209,Neofolk
741209,Acoustic
741209,Ambient
745285,Indie Rock
753493,Euro House
756050,Story
761443,Synth-pop
761443,Euro-Disco
767226,Pop Rock
767226,Easy Listening
776292,Breakbeat
781801,Experimental
782854,Techno
791574,Glitch
791574,Techno
791574,Electro
792701,Soundtrack
792701,Theme
796767,Soul
796767,Funk
797616,Italodance
798032,Indie Rock
798032,Emo
798032,Hardcore
798457,Eurodance
799926,Noise
799926,Power Electronics
799926,Experimental
799926,Industrial
805072,Latin Jazz
807406,Synth-pop
807406,Disco
817361,House
817361,Electro
818213,House
827337,Breakbeat
827337,Techno
827337,Drum n Bass
827337,Electro
828655,UK Garage
828655,Bassline
829245,Soul
829245,Funk
832541,New Age
832541,Tribal
832541,Ambient
833798,House
833798,Electro
833798,Funk
833798,Disco
837341,Folk Rock
837341,Indie Rock
839166,Rockabilly
851413,Blues Rock
854601,Electro
854601,Soul
854601,New Jack Swing
859214,Contemporary R&B
861460,Reggae
861777,Hardcore
861777,Techno
861777,Acid
864321,Pop Rock
869216,Shoegaze
870798,Downtempo
872163,Ragtime
874072,House
879398,Trance
879398,Techno
879977,Breakbeat
879977,Hardcore
884242,Contemporary
898032,Synth-pop
898032,New Beat
898704,Hard Rock
898704,Grunge
901298,Breakbeat
901298,House
901298,Electro
901298,Progressive Trance
902407,Classic Rock
903384,Noise
904284,Downtempo
904284,Ambient
905026,Drum n Bass
906455,Noise
906455,Industrial
906947,Grindcore
906947,Death Metal
907655,Indie Rock
907655,Pop Rock
907655,Synth-pop
908571,Free Improvisation
909968,House
909968,Deep House
909968,Disco
911145,Art Rock
911145,Punk
911145,Experimental
911740,Hard Rock
911740,Pop Rock
915580,Indie Rock
917905,Hip Hop
923814,Experimental
926400,House
926400,Euro House
926400,Ballad
926400,Trance
927574,Reggae
943079,Synth-pop
944614,Country Rock
944614,Soul
945147,Hardcore
945147,Techno
945203,Soul
945203,Disco
945203,RnB/Swing
945203,Neo Soul
945203,Synth-pop
945203,Funk
946859,Hardcore
946859,Punk
949971,New Wave
949971,Pop Rock
949971,Synth-pop
952755,Alternative Rock
952755,Punk
952755,Downtempo
952755,Indie Rock
952755,New Wave
954520,Soul-Jazz
954520,Rhythm & Blues
954520,Vocal
957087,Breaks
957087,Electro
958352,Pop Rock
958352,Country Rock
958352,Vocal
959065,House
959065,Latin
959327,Dancehall
961971,Euro House
963888,Disco
966169,Pop Rock
968770,Industrial
968770,Noise
968770,Experimental
968770,Ambient
969625,Smooth Jazz
969625,Easy Listening
970201,Disco
970201,Synth-pop
970295,Reggae
970295,Pop Rock
972355,Chanson
974155,Schlager
984057,Acid House
984057,Electro
984057,Minimal
984057,Tech House
984365,House
984365,Soul
985147,Big Beat
985173,Downtempo
986117,Techno
986117,Minimal
986513,Experimental
987336,Folk Rock
987336,Blues Rock
987336,Jazz-Rock
987336,Prog Rock
989100,Hardcore
989100,Gabber
990953,Hip Hop
992952,Trance
992952,Euro House
992952,House
992952,Beatdown
992952,Breakbeat
992952,Dance-pop
992952,Electro House
992952,Electro
992952,Eurobeat
992952,Eurodance
992952,New Beat
992952,Power Electronics
992952,Tech House
996953,Drum n Bass
996953,Experimental
997981,Euro House
1001796,RnB/Swing
1001796,Thug Rap
1002234,Breakbeat
1002234,Electro
1002234,Tech House
1003777,Trance
1003865,RnB/Swing
1003865,House
1005403,Jazzdance
1006480,Grunge
1006480,Alternative Rock
1010444,Hardcore
1010444,Breakcore
1014865,Drum n Bass
1014865,Jungle
1014886,Techno
1014886,Latin
1014886,Minimal
1015117,Afro-Cuban
1015117,Disco
1015805,Italo-Disco
1015805,Euro House
1016516,Soul
1016516,Disco
1016516,Vocal
1017729,Euro House
1022157,House
1022157,Synth-pop
1034065,Heavy Metal
1035190,Free Jazz
1040339,Trance
1040339,Eurodance
1044084,Chanson
1045569,Reggae
1046086,Hip Hop
1047104,House
1053892,Downtempo
1053892,Ragga
1053892,Latin
1054117,Dub
1054117,Dub Techno
1054117,Experimental
1055070,Synth-pop
1056725,Euro House
1056854,Vocal
1056854,Ballad
1057538,Alternative Rock
1057538,Pop Rock
1057538,Indie Rock
1057538,House
1057538,Electro
1057538,Synth-pop
1058490,Avantgarde
1058490,Experimental
1060692,Pop Rap
1060692,Electro
1060692,Downtempo
1060692,Pop Rock
1060997,Folk Rock
1060997,Indie Rock
1067064,Gangsta
1067207,Downtempo
1067337,Ballad
1070024,Breakbeat
1070024,Breaks
1070024,Drum n Bass
1070690,Hard Rock
1070690,Heavy Metal
1072511,Disco
1075097,Soft Rock
1075097,Rhythm & Blues
1075097,Ballad
1075250,Hardcore
1075250,Gabber
1075250,Hard Trance
1076980,Techno
1076980,Minimal
1080620,Britpop
1081030,Alternative Rock
1081320,Techno
1081898,African
1081919,Disco
1082490,Punk
1082490,Oi
1087387,New Wave
1087387,Goth Rock
1087387,Synth-pop
1089153,Techno
1089153,Electro
1089153,Minimal
1092247,Alternative Rock
1092683,Trance
1092683,Hard Trance
1093872,Psychedelic Rock
1093872,Experimental
1095399,Europop
1095399,Synth-pop
1095399,AOR
1095399,Disco
1095399,Schlager
1095565,Happy Hardcore
1098069,Indie Rock
1098877,Country
1098877,Folk
1099116,Euro House
1100729,Ethereal
1100729,Darkwave
1101399,Leftfield
1101399,IDM
1101399,Experimental
1106206,Pop Rock
1106206,Vocal
1110217,House
1113644,Country Rock
1113644,Classic Rock
1115745,Viking Metal
1115745,Black Metal
1117376,Dubstep
1118209,Pop Rock
1126852,Reggae
1132686,Chanson
1134301,Hard House
1135598,Europop
1135598,Glam
1136006,Hardcore
1136006,Happy Hardcore
1136048,Abstract
1136048,Techno
1136048,Experimental
1138076,Drum n Bass
1139201,Hard Trance
1140205,Soundtrack
1140205,Disco
1140883,House
1140883,Deep House
1144078,Hardcore
1146836,Blues Rock
1146836,Country Rock
1146836,Hard Rock
1147261,Southern Rock
1147261,Punk
1155885,Oi
1155885,Punk
1160974,Electric Blues
1175058,UK Garage
1178240,Emo
1178240,Post Rock
1178240,Indie Rock
1179721,Dixieland
1180250,Acid Jazz
1180250,Trip Hop
1180250,Funk
1181053,Soft Rock
1181053,Synth-pop
1181053,Electro
1183989,House
1185435,Techno
1186160,Goth Rock
1187421,Deep House
1187421,Tech House
1187609,Fusion
1188563,Euro House
1190277,House
1190277,Euro House
1191591,Euro House
1192745,Country Rock
1192745,Pop Rock
1192745,Rockabilly
1194459,Disco
1194844,IDM
1196392,Drum n Bass
1196427,House
1196427,Electro
1197582,Pop Rock
1197582,Blues Rock
1197582,Rhythm & Blues
1197593,Pop Rock
1197593,Parody
1201118,Hard House
1201118,Donk
1204887,House
1205396,Soul
1207906,Techno
1207906,Minimal
1210207,Hard Trance
1213045,Rock & Roll
1213045,Lo-Fi
1213045,Garage Rock
1213998,Progressive House
1213998,Techno
1213998,Electro
1213998,Tech House
1214901,Progressive Trance
1216327,Freestyle
1216327,Trance
1216327,Electro
1216327,Hard Trance
1219340,Folk Rock
1219340,Lo-Fi
1219883,Dark Ambient
1220105,Tech House
1220105,Minimal
1221123,New Wave
1221123,Goth Rock
1222722,House
1223433,House
1223433,Disco
1224843,Hardcore
1224843,Gabber
1238532,P.Funk
1239215,House
1239818,Acoustic
1240909,Stoner Rock
1240909,Abstract
1240909,Space Rock
1240909,Rhythmic Noise
1240909,New Wave
1240909,Art Rock
1240909,Psychedelic Rock
1240909,Experimental
1243944,Chanson
1245713,Pop Rock
1251498,Synth-pop
1251498,Disco
1254453,Post-Punk
1254453,New Wave
1254453,Synth-pop
1256233,House
1262280,Acoustic
1262280,Hard Rock
1262280,Garage Rock
1262908,Chanson
1264673,Progressive House
1264673,Downtempo
1264673,Breaks
1265779,Trance
1265779,Progressive Trance
1265865,Drum n Bass
1267858,Electro
1267858,Synth-pop
1268094,New Wave
1268094,Synth-pop
1270505,Glitch
1270505,Dub
1270505,IDM
1273348,Abstract
1273348,Experimental
1277740,Reggae
1281671,Abstract
1281671,Noise
1281671,Experimental
1281671,Breaks
1281671,Minimal
1282143,Dancehall
1282320,Conscious
1282920,Gogo
1282920,Funk
1285387,Electro
1288438,Fusion
1288438,Rhythm & Blues
1288438,Funk
1288438,Disco
1288631,House
1288631,Deep House
1296812,House
1297788,Euro House
1298616,House
1298616,Electro
1298616,Downtempo
1300991,Drum n Bass
1300991,Trip Hop
1300991,Breakcore
1304475,Chanson
1304475,Ballad
1304475,Europop
1306043,Pop Rock
1306084,Pop Rock
1306084,Synth-pop
1307718,House
1308641,Folk
1308641,Classic Rock
1308955,Electro
1308955,Techno
1312021,Tech House
1315317,Europop
1315317,Synth-pop
1315317,Soul
1319321,UK Garage
1319321,Breaks
1321398,New Wave
1321614,Minimal
1321614,Tech House
1323813,Funeral Doom Metal
1323813,Death Metal
1324244,Downtempo
1324244,Synth-pop
1327144,Schlager
1327863,Eurobeat
1329982,House
1329982,Electro
1333314,Synth-pop
1339974,Neo Soul
1339974,Contemporary R&B
1339974,Ballad
1341939,Euro House
1341939,Hard Trance
1348092,Techno
1348092,Minimal
1348092,Tech House
1350570,Hard Rock
1350570,Pop Rock
1351948,Industrial
1351948,Power Electronics
1351948,Noise
1352028,Easy Listening
1352308,Alternative Rock
1352308,Psychobilly
1352308,Rockabilly
1352308,Soundtrack
1352308,Video Game Music
1358712,House
1360182,House
1360182,Rhythm & Blues
1363569,Hardcore
1363569,Techno
1363569,Euro House
1372411,Trance
1372411,Techno
1375749,New Wave
1377425,Comedy
1380774,Modern Classical
1380774,Industrial
1380892,Minimal
1380892,Tech House
1384916,Psychedelic Rock
1385046,Industrial
1385046,Alternative Rock
1386693,Ballad
1386693,Vocal
1387687,Alternative Rock
1387687,Indie Rock
1387961,Hip Hop
1389912,Synth-pop
1394624,Country Rock
1394624,Soft Rock
1394624,Pop Rock
1406025,Punk
1414019,Classical
1420320,Alternative Rock
1420320,Country Rock
1421647,House
1423310,Contemporary Jazz
1429974,Alternative Rock
1431116,RnB/Swing
1431116,House
1431116,Soul
1434226,Hard Rock
1434226,Rock & Roll
1434226,Heavy Metal
1435516,Post Bop
1439980,Rhythmic Noise
1439980,Dark Ambient
1439980,Drum n Bass
1439980,Experimental
1439980,Minimal
1440032,Electro
1440032,Indie Rock
1442687,Leftfield
1442687,Indie Rock
1445923,Big Band
1445923,Score
1447068,Soul
1447068,Funk
1447068,Neo Soul
1449868,Techno
1449868,Minimal
1452528,Hardcore
1452528,Punk
1452959,Deep House
1452959,Tech House
1452959,Minimal
1453598,Soundtrack
1453598,Dialogue
1453598,Score
1453598,Spoken Word
1460722,Soundtrack
1460722,Pop Rock
1461767,Ambient
1462539,Soul
1462539,Disco
1462539,Funk
1462592,Post Bop
1464384,Jazz-Funk
1464384,Kaseko
1464384,P.Funk
1465856,Dark Ambient
1465856,Drone
1465856,Power Electronics
1472148,Euro House
1473219,Alternative Rock
1477378,Hardcore
1477378,Heavy Metal
1477702,Disco
1481842,Chanson
1481924,Post Bop
1481924,Fusion
1481924,Avantgarde
1484377,Progressive House
1488294,Progressive House
1488294,House
1488294,Electro
1488294,Leftfield
1498355,Downtempo
1498355,Euro House
1501006,Indie Rock
1501006,Britpop
1503271,Punk
1506740,House
1506740,Euro House
1508570,Trance
1513376,Progressive House
1513376,Hard House
1515392,Minimal
1515392,Tech House
1515438,Tech House
1515438,Minimal
1518111,Noise
1522743,Hard Trance
1522826,Swingbeat
1525136,Techno
1527120,Synth-pop
1527120,Disco
1530914,Easy Listening
1532415,Experimental
1535642,RnB/Swing
1537408,Trance
1537408,Techno
1537408,Electro
1544805,Alternative Rock
1546505,House
1548643,Disco
1554029,Trance
1554029,House
1560089,Folk Rock
1571026,IDM
1571026,Breakcore
1578054,Trance
1578054,Hardcore
1579686,Industrial
1579686,Sludge Metal
1589842,Ragtime
1589842,Vocal
1591029,Noise
1591029,Power Electronics
1592015,Glitch
1592015,Abstract
1592015,Experimental
1592015,Vocal
1595100,Techno
1595100,Downtempo
1595100,Jungle
1595812,Techno
1595812,Electro
1595812,Acid
1600777,Experimental
1602857,Broken Beat
1602857,Future Jazz
1602857,Fusion
1605137,Synth-pop
1605137,Disco
1605148,Romantic
1605148,Opera
1605148,Operetta
1613872,Country Rock
1617268,Alternative Rock
1617268,Indie Rock
1617474,Breaks
1617474,Techno
1617474,Jazzdance
1620764,House
1620764,Euro House
1624846,Drum n Bass
1625023,Modern
1625023,Contemporary
1626584,Trance
1627492,Country
1627729,Synth-pop
1629988,Europop
1629988,Pop Rock
1629988,Pop Rap
1630671,Rocksteady
1632707,Progressive House
1633483,Soft Rock
1633483,Vocal
1635511,Disco
1635511,House
1639243,Psychobilly
1641120,Goth Rock
1647793,House
1649183,Alternative Rock
1649298,Soul
1651108,Space Rock
1651108,Post Rock
1651108,Ambient
1656367,Dub Techno
1656367,Trip Hop
1656367,Downtempo
1663279,Punk
1666630,Indie Rock
1668384,Indie Rock
1668384,Post-Hardcore
1668384,Emo
1670746,Indie Rock
1676143,Soul
1676143,Soul-Jazz
1676159,Rhythm & Blues
1678508,Alternative Rock
1681009,Breakcore
1682037,Folk Rock
1682037,Emo
1682037,Indie Rock
1682218,Fusion
1683359,Chanson
1683359,Easy Listening
1684406,Post Rock
1684406,Experimental
1685818,Electro
1690930,Techno
1690930,Electro
1694212,Trance
1698280,Dub
1698280,Acid Jazz
1698569,Alternative Rock
1698569,Hard Rock
1703506,Beat
1703506,Rhythm & Blues
1706907,Deep House
1710828,Shoegaze
1710828,Goth Rock
1710828,Ethereal
1710828,Darkwave
1711791,Trance
1711791,Euro House
1716095,Tech House
1716241,Acoustic
1716241,Hard Rock
1721093,Electro
1722039,Rock & Roll
1723887,Modern
1723887,Classical
1723887,Romantic
1725305,Ballad
1729713,Folk Rock
1733845,House
1736001,Punk
1741787,Indie Rock
1741787,Shoegaze
1741787,Indie Pop
1745670,Roots Reggae
1749802,Vocal
1756925,Alternative Rock
1756925,Pop Rock
1758739,Free Improvisation
1758739,Experimental
1759638,New Wave
1759638,Punk
1761864,Soul
1761864,Ballad
1766905,Abstract
1766905,Experimental
1767488,Indie Rock
1768271,Electro
1768276,RnB/Swing
1768276,New Jack Swing
1768967,Thrash
1768967,Heavy Metal
1769733,House
1769733,Minimal
1770750,Contemporary R&B
1773639,Abstract
1773639,Noise
1774127,Future Jazz
1774127,Easy Listening
1777871,Rhythm & Blues
1777871,Soul
1780026,House
1780284,House
1786298,Hardstyle
1788102,Gangsta
1795243,Europop
1795243,Glam
1798490,Modern
1799056,Pop Rock
1799056,Disco
1801378,Dialogue
1801869,Techno
1803617,Italo-Disco
1806630,Folk Rock
1814903,Europop
1814903,Euro House
1818642,Trip Hop
1827941,Dub
1827941,Dubstep
1832540,Disco
1832540,Techno
1832540,Euro House
1832540,Synth-pop
1837846,Funk
1837846,Disco
1837846,Soul
1845523,Soundtrack
1845523,Ballad
1845523,Score
1845523,Vocal
1851578,House
1853655,Rock & Roll
1859343,Prog Rock
1861475,Rockabilly
1861521,Drum n Bass
1865560,Psychedelic Rock
1865560,Beat
1865560,Soundtrack
1866247,Ragtime
1866247,Dixieland
1866247,Big Band
1868171,Psy-Trance
1873340,Fusion
1874736,Abstract
1874736,Drone
1874736,Ambient
1875009,Folk Rock
1875743,Progressive House
1875743,Deep House
1875743,Tech House
1877055,Gangsta
1877055,G-Funk
1879603,Euro House
1879603,Italodance
1884005,Hard Rock
1884005,Heavy Metal
1888378,Hardcore
1888378,Punk
1892327,Synth-pop
1899500,Alternative Rock
1899500,Dub
1899500,Punk
1899500,Art Rock
1903981,Alternative Rock
1903981,Art Rock
1903981,Indie Rock
1906023,Disco
1909948,Italo-Disco
1912563,Pop Rock
1912609,Alternative Rock
1914508,Technical
1917467,Progressive House
1917467,Trance
1918791,Tech House
1922156,Alternative Rock
1924657,Progressive House
1924657,Trance
1924657,Techno
1924657,Progressive Trance
1924657,Ambient
1925853,Techno
1925853,Minimal
1926030,Vocal
1926030,Ballad
1926030,Soul
1926439,House
1926439,Hip Hop
1926448,Techno
1930045,Instrumental
1930045,Breaks
1934193,Ambient
1949573,Country
1950777,House
1950777,Techno
1950777,Deep House
1950777,Minimal
1956556,Hip Hop
1958000,Drone
1958000,Ambient
1958349,Soul
1958349,Disco
1958658,Hi NRG
1958658,Disco
1960176,Eurodance
1960176,Pop Rock
1961582,Indie Rock
1961582,Shoegaze
1963863,Synth-pop
1963863,EBM
1963863,Tribal
1963863,Avantgarde
1963863,Darkwave
1963863,Tribal House
1963863,Karaoke
1963863,Experimental
1964979,Blues Rock
1964979,Psychedelic Rock
1966345,Jazz-Funk
1970352,Breakbeat
1970352,Progressive House
1970352,Europop
1970352,Euro House
1970352,Trance
1970591,Noise
1970868,Military
1970868,Industrial
1972283,Pop Rock
1975793,Black Metal
1976129,Garage Rock
1976129,Ballad
1976719,Grindcore
1976719,Death Metal
1976883,Chanson
1978737,New Wave
1979215,Progressive House
1979215,House
1979215,Latin
1980069,Lo-Fi
1980069,Avantgarde
1980069,Lounge
1980069,Psychedelic Rock
1980069,Free Improvisation
1980069,Jazz-Rock
1980672,Jazz-Funk
1980672,Funk
1980672,Disco
1984349,Vocal
1991358,Hardcore
1991358,Punk
1992966,Drone
1992966,Experimental
1992966,Ambient
1993462,Funk
1993462,Disco
1996412,Abstract
1996412,Experimental
1996412,Ambient
1998669,Heavy Metal
1998943,Europop
2003133,Techno
2003133,Dubstep
2004154,Tribal
2004154,Latin
2004154,Italodance
2004413,Pop Rock
2005550,Synth-pop
2005685,House
2005685,Euro House
2005685,Synth-pop
2005685,Hi NRG
2007761,Cool Jazz
2007761,Easy Listening
2008594,Abstract
2008594,Cut-up/DJ
2008594,Hip Hop
2008594,Experimental
2009805,Soft Rock
2009805,Pop Rock
2009805,Soul
2009805,Funk
2009805,Disco
2010450,Hardcore
2017477,Vocal
2017477,Disco
2017506,Swing
2018627,Blues Rock
2018627,Rhythm & Blues
2018627,Chicago Blues
2026286,Ballad
2026664,Blues Rock
2026664,Arena Rock
2028999,Schlager
2029331,Acoustic
2029331,Pop Rock
2029497,Abstract
2029497,Drone
2029497,Experimental
2029497,Ambient
2032266,Zouk
2032776,Techno
